data,produto,titulo,preco,link
25/02/2026 16:52,PS5,Console Sony Playstation 5 Cor Branco Slim Digital Edition Bundle 2 Jogos: Astro Bot + Gran Turismo 7,3850,https://www.mercadolivre.com.br/console-sony-playstation-5-cor-branco-slim-digital-edition-bundle-2-jogos-astro-bot-gran-turismo-7/p/MLB53046447#polycard_client=search-desktop&search_layout=grid&position=12&type=product&tracking_id=704f93e0-1ce1-4095-9f64-a3b615238e39&wid=MLB5550981806&sid=search
25/02/2026 16:52,PS5,Console Playstation 5 Slim Edição 1tb Sony Ps5 Digital Cor Branco Com 5 Jogos,3790,https://produto.mercadolivre.com.br/MLB-5857577154-console-playstation-5-slim-edico-1tb-sony-ps5-digital-cor-branco-com-5-jogos-_JM?searchVariation=192303767615#polycard_client=search-desktop&searchVariation=192303767615&search_layout=grid&position=35&type=item&tracking_id=704f93e0-1ce1-4095-9f64-a3b615238e39
25/02/2026 16:52,PS5,Sony Playstation 5 Mídia Física 825gb - Peça De Mostruário Com Garantia De 12 Meses Pela Sony + Um Jogo De Brinde !!!! Branco E Preto (Recondicionado),3650,https://www.mercadolivre.com.br/sony-playstation-5-midia-fisica--825gb--peca-de-mostruario-com-garantia-de-12-meses-pela-sony--um--jogo-de-brinde-/up/MLBU2520537083#polycard_client=search-desktop&search_layout=grid&position=22&type=product&tracking_id=704f93e0-1ce1-4095-9f64-a3b615238e39&wid=MLB3273015235&sid=search
25/02/2026 16:52,RTX 4060,Placa De Vídeo Zotac Geforce Twin Edge Rtx 4060 8gb Gddr6,3999,https://www.mercadolivre.com.br/placa-de-video-zotac-geforce-twin-edge-rtx-4060-8gb-gddr6/p/MLB40827289#polycard_client=search-desktop&search_layout=grid&position=36&type=product&tracking_id=1f85c4ed-2300-4e06-83eb-3bd9b465d4c0&wid=MLB5422712316&sid=search
25/02/2026 16:52,RTX 4060,Placa de Vídeo INNO3D RTX 4060 Ti Twin X2 8GB GDDR6 Ray Tracing DLSS 3 8K,3890,https://www.mercadolivre.com.br/placa-de-video-inno3d-rtx-4060-ti-twin-x2-8gb-gddr6-ray-tracing-dlss-3-8k/p/MLB39166389#polycard_client=search-desktop&search_layout=grid&position=15&type=product&tracking_id=1f85c4ed-2300-4e06-83eb-3bd9b465d4c0&wid=MLB4264164009&sid=search
25/02/2026 16:52,RTX 4060,Placa De Vídeo Inno3d Nvidia Geforce Rtx 4060 Ti 8gb Gddr6,3766,https://www.mercadolivre.com.br/placa-de-video-inno3d-nvidia-geforce-rtx-4060-ti-8gb-gddr6/p/MLB2065599986#polycard_client=search-desktop&search_layout=grid&position=3&type=product&tracking_id=1f85c4ed-2300-4e06-83eb-3bd9b465d4c0&wid=MLB6218745472&sid=search
25/02/2026 16:52,SSD 1TB,SSD Macrovip 1TB SATA 3 Preto 2.5 Interno para PC e Servidor,769,https://www.mercadolivre.com.br/ssd-macrovip-1tb-sata-3-preto-25-interno-para-pc-e-servidor/p/MLB39939014#polycard_client=search-desktop&search_layout=grid&position=58&type=product&tracking_id=42bfd8a7-5520-4295-ac9e-7b382ff87af7&wid=MLB3832716617&sid=search
25/02/2026 16:52,SSD 1TB,Ssd Goldenfir T800 1tb Disco Sólido Interno 1tb Hd Notebook Pc Cor Preto,805,https://www.mercadolivre.com.br/ssd-goldenfir-t800-1tb-disco-solido-interno-1tb-hd-notebook-pc-cor-preto/p/MLB50853225#polycard_client=search-desktop&search_layout=grid&position=11&type=product&tracking_id=42bfd8a7-5520-4295-ac9e-7b382ff87af7&wid=MLB5414616372&sid=search
25/02/2026 16:52,SSD 1TB,"Ssd 1tb Sata Iii 2,5 Pol. Crucial Bx500 Ct1000bx500ssd1 Velocidade De Leitura Até 540mb/s Disco Sólido Interno",830,https://www.mercadolivre.com.br/ssd-1tb-sata-iii-25-pol-crucial-bx500-ct1000bx500ssd1-velocidade-de-leitura-ate-540mbs-disco-solido-interno/p/MLB45902515#polycard_client=search-desktop&search_layout=grid&position=30&type=product&tracking_id=42bfd8a7-5520-4295-ac9e-7b382ff87af7&wid=MLB5318993288&sid=search
25/02/2026 16:52,óculos natação,Óculos Natação Uv Profissional Feminino/masculino Cor Rosa Choque Prateado,62,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=yxlizvRRjOFLIqzQGbt1xEAb9DJPpwtHI0UBXtQI2VZKVFi4pEhoc%2BTHYGrUQAgA3B2MlQnFwq1KR2D%2BzsLYEcVfXo6q1yH3t7h65uMjewxc%2FdBDQCC%2Fl325vnn5g2J2UhbL0Msnk%2BD4c9XtxTO1eAvblg1xzGALxxurBpuThXJZlHtt3ta53rt%2BP8NYqqORVjxwnrh2hjun0ZUJRFqK8ss4Jg7QqAMxfbfdaMQ4as1%2F3ar6S4UqR9X%2B8YYKq5nws8WNoNLiZuCOL82XjbFYBbioaL3PzRe36QSE8gJBdTXJEK%2FKU4K%2F0vaRmumeIwqaeUA%2Fj5Qeu7pW7CiTh4kwj66HLAC7ZwHoF36ewiKml%2BhbHizDhr1j3Ct%2FTIjICREPb64j8pQeXHoyOxWBR6EL89BGNLgoI%2FHDM6t64d3ztu1Lg%2B%2FBsln%2BEe24KcpT%2FfYdYJtB03odmbqhy6Inzy2gI7Ez3HpQ%2Fz8Ch3%2B7bo1pErFp2lbSlLcdG%2BM0JSuywr8jrQRBngReZuNWTkr%2BDmN2BBnKWK6YFqUOGPqt2eLRT2SVCttfUpSqLR395AgY8WKr7EUah7i9wGggQLaJ756UhCtAGsASIBXsSN4q66nOTj4XRbeJsLZimQj2Dp15vCZOBY0FAX%2FMwqcdPiKBu4nkeRQNHh23qiYMdJR87jupRcXeFhcKikxeBjyGQh8ejSNXJnErvOovYyBn7GTj6H58g%2FLG2SMVo7su58eAj3WUIPzTzBx%2B6eQkcTDtAvo3F9EESPV5INaqMMhQcb3%2F%2BOTEOLCrO76kKLvpvX3CYycOcPqgNvI4UWWaENaW46leBB41aIe1Im00Kn4bQNX5DZAmMDGL06Dzu33MqfsjHEMy3RFOBQAvK%2BI19qHHvhwUNDi2CnxxQQdDqvOSR3P9M1MXvxDJ0VLbkNVZD8SE8ujP2ERZsG7rZ%2FED5U2HoAHO9DN1Ot6I7vhDOK5Ndf%2FWqNMTjXGB#polycard_client=search-desktop&is_advertising=true&searchVariation=MLB63000161&backend_model=search-backend&search_layout=grid&position=26&type=pad&tracking_id=5f6b40b0-90cb-40db-b81b-3d1adf511042&wid=MLB6028779530&sid=search
